date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:28:25	330/330	---M--	200	added ('OK')	image/gif	etag:%228098b5701313d01:0%22	http://www.winsfordasc.co.uk/Resources/item2b1a2.gif	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item2b1a2.gif	(from http://www.winsfordasc.co.uk/information.html)
06:28:26	1474/1474	---M--	200	added ('OK')	image/gif	etag:%22089b0731313d01:0%22	http://www.winsfordasc.co.uk/Resources/item2b2a2.gif	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item2b2a2.gif	(from http://www.winsfordasc.co.uk/information.html)
06:28:26	653/653	---M--	200	added ('OK')	image/gif	etag:%2280f217731313d01:0%22	http://www.winsfordasc.co.uk/Resources/item2b2a1.gif	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item2b2a1.gif	(from http://www.winsfordasc.co.uk/information.html)
06:28:26	1246/1246	---M--	200	added ('OK')	image/gif	etag:%228079ab761313d01:0%22	http://www.winsfordasc.co.uk/Resources/item2b3a2.gif	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item2b3a2.gif	(from http://www.winsfordasc.co.uk/information.html)
06:28:26	496/496	---M--	200	added ('OK')	image/gif	etag:%220e312761313d01:0%22	http://www.winsfordasc.co.uk/Resources/item2b3a1.gif	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item2b3a1.gif	(from http://www.winsfordasc.co.uk/information.html)
06:28:26	40960/40960	---M--	200	added ('OK')	application/msword	etag:%2280b70ef5db5cd1:0%22	http://www.winsfordasc.co.uk/Resources/Open%20Meets.doc	wascPublic/wasc/www.winsfordasc.co.uk/Resources/Open%20Meets.doc	(from http://www.winsfordasc.co.uk/meetscal.html)
06:28:26	1468/1468	---M--	200	added ('OK')	image/jpeg	etag:%220d5eb6e1313d01:0%22	http://www.winsfordasc.co.uk/Resources/infotopimage.jpeg	wascPublic/wasc/www.winsfordasc.co.uk/Resources/infotopimage.jpg	(from http://www.winsfordasc.co.uk/information.html)
06:28:27	2417/2417	---M--	200	added ('OK')	image/jpeg	etag:%220d5eb6e1313d01:0%22	http://www.winsfordasc.co.uk/Resources/infotopimage1.jpeg	wascPublic/wasc/www.winsfordasc.co.uk/Resources/infotopimage1.jpg	(from http://www.winsfordasc.co.uk/information.html)
06:28:28	1554/1554	---M--	200	added ('OK')	image/png	etag:%228058cfc09161cf1:0%22	http://www.winsfordasc.co.uk/Resources/titlebarwhitec.png	wascPublic/wasc/www.winsfordasc.co.uk/Resources/titlebarwhitec.png	(from http://www.winsfordasc.co.uk/information.html)
06:28:28	14025/14025	---M--	200	added ('OK')	text/html	etag:%22801a56301313d01:0%22	http://www.winsfordasc.co.uk/coaches.html	wascPublic/wasc/www.winsfordasc.co.uk/coaches.html	(from http://www.winsfordasc.co.uk/information.html)
06:28:28	15378/15378	---M--	200	added ('OK')	text/html	etag:%2280a1e9331313d01:0%22	http://www.winsfordasc.co.uk/fees.html	wascPublic/wasc/www.winsfordasc.co.uk/fees.html	(from http://www.winsfordasc.co.uk/information.html)
06:28:29	47193/47193	---M--	200	added ('OK')	text/html	etag:%220cd3c3f1313d01:0%22	http://www.winsfordasc.co.uk/nutritionadvise.html	wascPublic/wasc/www.winsfordasc.co.uk/nutritionadvise.html	(from http://www.winsfordasc.co.uk/information.html)
06:28:31	9841/9841	---M--	200	added ('OK')	image/jpeg	etag:%22806b846f1313d01:0%22	http://www.winsfordasc.co.uk/Resources/infotopimage2.jpeg	wascPublic/wasc/www.winsfordasc.co.uk/Resources/infotopimage2.jpg	(from http://www.winsfordasc.co.uk/information.html)
